Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 2 3 6 7,8.4624226992734*x_1 - 1.93294158699493*x_2 + 0.124813675653225*x_3 - 9.6705141315536*x_4 + 2.0722077*(2.1312153*x_1 + 2.9849255*x_2 - 0.010093937*x_3 + 0.42490005*x_4 - 0.5567437)*(2.1720717*x_1 + 2.9869087*x_2 - 0.06780776*x_3 + 0.47497642*x_4 - 0.48390928) + 1.80941762394551,0.709148941,0.733610701,0.656325696,0.533377556,0.678725368,0.726007397,27,35.12632483
Feature(s): 1 2 3 4 5,#NAME?,0.759921547,0.695407307,0.596294324,0.595793889,0.640757088,0.67570895,33,34.78577182
Feature(s): 1 2 3 4 6,#NAME?,0.740682211,0.726915764,0.619726744,0.614750267,0.646520215,0.65967406,33,34.7716239
Feature(s): 1 2 3 5 7,#NAME?,0.759601008,0.692044291,0.59669226,0.593607138,0.644740161,0.677534274,33,34.66040727
Feature(s): 1 2 3 5 6,#NAME?,0.759688745,0.700375382,0.596583364,0.591756882,0.648727401,0.679074887,33,34.57228139
Feature(s): 3 5,43.9392109417734*x_1**2 - 6.06086189373365*x_1*x_2 - 12.9053172136258*x_1 + 0.201358941964957*x_2**2 - 0.0318333386535499*x_2 + 2.70307615323907,0.650236507,0.802598546,0.719732845,0.299322346,0.708006906,0.88964628,13,34.47794265
Feature(s): 2 3 5 6,4.6062196083855*x_1 - 0.468064949149854*x_2 - 3.41229076964118*x_3 + 0.484942341856536*x_4 + 2.25898*(1.872442*x_1 + 3.2616358*x_2 - 0.056603044*x_3 + 0.061002545*x_4 - 0.61082417)*(1.8926022*x_1 + 3.2818885*x_2 + 0.013638879*x_3 + 0.04671555*x_4 - 0.5718152) + 1.46548664698731,0.715020322,0.753056329,0.649667331,0.514395483,0.660472999,0.740627089,27,34.47079027
Feature(s): 1 3 4 6,#NAME?,0.707218849,0.723044084,0.658499788,0.519842475,0.649980965,0.736461594,27,34.35306624
Feature(s): 1 4 7,#NAME?,0.546797586,0.729500425,0.81927592,0.553388446,0.61211529,0.710269574,21,34.00930159
Feature(s): 1 2 3 6 7,#NAME?,0.739928897,0.733371541,0.62062624,0.599150569,0.65926465,0.67289743,33,33.95397328
Feature(s): 1 2 3 4 7,#NAME?,0.725628823,0.756390023,0.63746057,0.609803082,0.660881026,0.663896152,33,33.77159521
Feature(s): 2 3 4 6 7,16.82734992321*x_1 - 2.6269414013875*x_2 - 11.832057846954*x_3 - 0.0010775666163721*x_4 - 13.123489570665*x_5 + 2.4323952*(3.3130276*x_1 + 2.9804578*x_2 - 0.8608466*x_3 - 0.09857067*x_4 + 0.34557754*x_5 - 0.301677)*(3.3222263*x_1 + 2.9728584*x_2 - 0.9443651*x_3 - 0.17098373*x_4 + 0.3325547*x_5 - 0.26036817) + 2.9992191330195,0.733880527,0.73792807,0.627801588,0.595741357,0.674653552,0.675752857,33,33.48109421
Linear Regression: Feature 3,30.5248156866978*x3 - 3.5018890497563184,0.423317101,0.95174415,0.924171603,0.281092825,0.802948438,0.901144928,2,33.22049628
Feature(s): 2 4 5 6 7,9.12462112296492*x_1 - 2.8238638953501*x_2 - 4.40628938493027*x_3 + 1.19574168054313*x_4 - 0.000326706176735682*x_5 + 1.5251639*(3.7720933*x_1 + 0.59311515*x_2 + 0.13007744*x_3 - 0.11897976*x_4 + 0.87463504*x_5 + 0.2914452)*(3.8691673*x_1 + 0.5578957*x_2 + 0.22707464*x_3 - 0.15940927*x_4 + 0.8546408*x_5 + 0.39306128) - 1.11039609979659,0.597229283,0.748106545,0.772348002,0.724813879,0.635203519,0.55753418,33,33.10215809
